intelligence_activities_01,Threat assessment,Intelligence and targeting: Threat assessment. Illustrative system variable in the operational activities layer; not operational intelligence or a policy assessment.,intelligence,activities,activity,106,operations/month,,higher_better,,additive,,,
intelligence_activities_02,Target development,Intelligence and targeting: Target development. Illustrative system variable in the operational activities layer; not operational intelligence or a policy assessment.,intelligence,activities,activity,113,operations/month,,higher_better,,additive,,,
intelligence_activities_03,Intelligence fusion,Intelligence and targeting: Intelligence fusion. Illustrative system variable in the operational activities layer; not operational intelligence or a policy assessment.,intelligence,activities,activity,120,operations/month,,higher_better,,additive,,,
intelligence_activities_04,Source evaluation,Intelligence and targeting: Source evaluation. Illustrative system variable in the operational activities layer; not operational intelligence or a policy assessment.,intelligence,activities,activity,127,operations/month,,higher_better,,additive,,,
intelligence_activities_05,Operational dissemination,Intelligence and targeting: Operational dissemination. Illustrative system variable in the operational activities layer; not operational intelligence or a policy assessment.,intelligence,activities,activity,134,operations/month,,higher_better,,additive,,,
intelligence_outputs_01,Actionable intelligence packages,Intelligence and targeting: Actionable intelligence packages. Illustrative system variable in the immediate outputs layer; not operational intelligence or a policy assessment.,intelligence,outputs,output,119,outputs/month,,higher_better,,additive,,,
intelligence_outputs_02,High-risk movement alerts,Intelligence and targeting: High-risk movement alerts. Illustrative system variable in the immediate outputs layer; not operational intelligence or a policy assessment.,intelligence,outputs,output,126,outputs/month,,higher_better,,additive,,,
intelligence_outputs_03,Target profiles,Intelligence and targeting: Target profiles. Illustrative system variable in the immediate outputs layer; not operational intelligence or a policy assessment.,intelligence,outputs,output,133,outputs/month,,higher_better,,additive,,,
intelligence_outputs_04,Route assessments,Intelligence and targeting: Route assessments. Illustrative system variable in the immediate outputs layer; not operational intelligence or a policy assessment.,intelligence,outputs,output,140,outputs/month,,higher_better,,additive,,,
intelligence_outputs_05,Partner intelligence briefings,Intelligence and targeting: Partner intelligence briefings. Illustrative system variable in the immediate outputs layer; not operational intelligence or a policy assessment.,intelligence,outputs,output,86,outputs/month,,higher_better,,additive,,,
intelligence_outcomes_01,Earlier threat detection,Intelligence and targeting: Earlier threat detection. Illustrative system variable in the drug trafficking outcomes layer; not operational intelligence or a policy assessment.,intelligence,outcomes,outcome,132,outcome index,,higher_better,,additive,,,
intelligence_outcomes_02,Targeting accuracy,Intelligence and targeting: Targeting accuracy. Illustrative system variable in the drug trafficking outcomes layer; not operational intelligence or a policy assessment.,intelligence,outcomes,outcome,139,outcome index,,higher_better,,additive,,,
intelligence_outcomes_03,Hidden route exposure,Intelligence and targeting: Hidden route exposure. Illustrative system variable in the drug trafficking outcomes layer; not operational intelligence or a policy assessment.,intelligence,outcomes,outcome,85,outcome index,,higher_better,,additive,,,
intelligence_outcomes_04,Criminal network visibility,Intelligence and targeting: Criminal network visibility. Illustrative system variable in the drug trafficking outcomes layer; not operational intelligence or a policy assessment.,intelligence,outcomes,outcome,92,outcome index,,higher_better,,additive,,,
intelligence_outcomes_05,Intelligence confidence,Intelligence and targeting: Intelligence confidence. Illustrative system variable in the drug trafficking outcomes layer; not operational intelligence or a policy assessment.,intelligence,outcomes,outcome,99,outcome index,,higher_better,,additive,,,
air_passenger_environment_01,High-risk passenger demand,Air passenger border: High-risk passenger demand. Illustrative system variable in the trafficking environment layer; not operational intelligence or a policy assessment.,air_passenger,environment,context,97,pressure index,,neutral,,,,,
air_passenger_environment_02,Passenger concealment sophistication,Air passenger border: Passenger concealment sophistication. Illustrative system variable in the trafficking environment layer; not operational intelligence or a policy assessment.,air_passenger,environment,context,104,pressure index,,neutral,,,,,
air_passenger_environment_03,International flight connectivity,Air passenger border: International flight connectivity. Illustrative system variable in the trafficking environment layer; not operational intelligence or a policy assessment.,air_passenger,environment,context,111,pressure index,,neutral,,,,,
air_passenger_environment_04,Airport facilitation risk,Air passenger border: Airport facilitation risk. Illustrative system variable in the trafficking environment layer; not operational intelligence or a policy assessment.,air_passenger,environment,context,118,pressure index,,neutral,,,,,
air_passenger_environment_05,Passenger inspection pressure,Air passenger border: Passenger inspection pressure. Illustrative system variable in the trafficking environment layer; not operational intelligence or a policy assessment.,air_passenger,environment,context,125,pressure index,,neutral,,,,,
air_passenger_inputs_01,Airport officer coverage,Air passenger border: Airport officer coverage. Illustrative system variable in the border force inputs layer; not operational intelligence or a policy assessment.,air_passenger,inputs,capability,110,capacity index,true,higher_better,2.5,,,,
air_passenger_inputs_02,Detector dog availability,Air passenger border: Detector dog availability. Illustrative system variable in the border force inputs layer; not operational intelligence or a policy assessment.,air_passenger,inputs,capability,117,capacity index,true,higher_better,2.5,,,,
air_passenger_inputs_03,Body scanner capacity,Air passenger border: Body scanner capacity. Illustrative system variable in the border force inputs layer; not operational intelligence or a policy assessment.,air_passenger,inputs,capability,124,capacity index,true,higher_better,2.5,,,,
air_passenger_inputs_04,Baggage analytics,Air passenger border: Baggage analytics. Illustrative system variable in the border force inputs layer; not operational intelligence or a policy assessment.,air_passenger,inputs,capability,131,capacity index,true,higher_better,2.5,,,,
air_passenger_inputs_05,Secure examination space,Air passenger border: Secure examination space. Illustrative system variable in the border force inputs layer; not operational intelligence or a policy assessment.,air_passenger,inputs,capability,138,capacity index,true,higher_better,2.5,,,,
air_passenger_activities_01,Passenger risk selection,Air passenger border: Passenger risk selection. Illustrative system variable in the operational activities layer; not operational intelligence or a policy assessment.,air_passenger,activities,activity,123,operations/month,,higher_better,,additive,,,
air_passenger_activities_02,Baggage examination,Air passenger border: Baggage examination. Illustrative system variable in the operational activities layer; not operational intelligence or a policy assessment.,air_passenger,activities,activity,130,operations/month,,higher_better,,additive,,,
air_passenger_activities_03,Passenger questioning,Air passenger border: Passenger questioning. Illustrative system variable in the operational activities layer; not operational intelligence or a policy assessment.,air_passenger,activities,activity,137,operations/month,,higher_better,,additive,,,
air_passenger_activities_04,Canine screening,Air passenger border: Canine screening. Illustrative system variable in the operational activities layer; not operational intelligence or a policy assessment.,air_passenger,activities,activity,83,operations/month,,higher_better,,additive,,,
air_passenger_activities_05,Gate intervention,Air passenger border: Gate intervention. Illustrative system variable in the operational activities layer; not operational intelligence or a policy assessment.,air_passenger,activities,activity,90,operations/month,,higher_better,,additive,,,
air_passenger_outputs_01,Passengers examined,Air passenger border: Passengers examined. Illustrative system variable in the immediate outputs layer; not operational intelligence or a policy assessment.,air_passenger,outputs,output,136,outputs/month,,higher_better,,additive,,,
air_passenger_outputs_02,Baggage searches completed,Air passenger border: Baggage searches completed. Illustrative system variable in the immediate outputs layer; not operational intelligence or a policy assessment.,air_passenger,outputs,output,82,outputs/month,,higher_better,,additive,,,
air_passenger_outputs_03,Air-border detections,Air passenger border: Air-border detections. Illustrative system variable in the immediate outputs layer; not operational intelligence or a policy assessment.,air_passenger,outputs,output,89,outputs/month,,higher_better,,additive,,,
air_passenger_outputs_04,Passengers referred,Air passenger border: Passengers referred. Illustrative system variable in the immediate outputs layer; not operational intelligence or a policy assessment.,air_passenger,outputs,output,96,outputs/month,,higher_better,,additive,,,
air_passenger_outputs_05,Airport intelligence reports,Air passenger border: Airport intelligence reports. Illustrative system variable in the immediate outputs layer; not operational intelligence or a policy assessment.,air_passenger,outputs,output,103,outputs/month,,higher_better,,additive,,,
air_passenger_outcomes_01,Air courier disruption,Air passenger border: Air courier disruption. Illustrative system variable in the drug trafficking outcomes layer; not operational intelligence or a policy assessment.,air_passenger,outcomes,outcome,88,outcome index,,higher_better,,additive,,,
air_passenger_outcomes_02,Air route displacement,Air passenger border: Air route displacement. Illustrative system variable in the drug trafficking outcomes layer; not operational intelligence or a policy assessment.,air_passenger,outcomes,outcome|risk,95,outcome index,,lower_better,,additive,,,
air_passenger_outcomes_03,Air-border seizure volume,Air passenger border: Air-border seizure volume. Illustrative system variable in the drug trafficking outcomes layer; not operational intelligence or a policy assessment.,air_passenger,outcomes,outcome,102,outcome index,,neutral,,additive,,,
air_passenger_outcomes_04,Passenger false-positive burden,Air passenger border: Passenger false-positive burden. Illustrative system variable in the drug trafficking outcomes layer; not operational intelligence or a policy assessment.,air_passenger,outcomes,outcome|risk,109,outcome index,,lower_better,,additive,,,
air_passenger_outcomes_05,Air-route deterrence,Air passenger border: Air-route deterrence. Illustrative system variable in the drug trafficking outcomes layer; not operational intelligence or a policy assessment.,air_passenger,outcomes,outcome,116,outcome index,,higher_better,,additive,,,
maritime_environment_01,Container traffic volume,Maritime and ports: Container traffic volume. Illustrative system variable in the trafficking environment layer; not operational intelligence or a policy assessment.,maritime,environment,context,114,pressure index,,neutral,,,,,
maritime_environment_02,Small craft traffic,Maritime and ports: Small craft traffic. Illustrative system variable in the trafficking environment layer; not operational intelligence or a policy assessment.,maritime,environment,context,121,pressure index,,neutral,,,,,
maritime_environment_03,Port operating complexity,Maritime and ports: Port operating complexity. Illustrative system variable in the trafficking environment layer; not operational intelligence or a policy assessment.,maritime,environment,context,128,pressure index,,neutral,,,,,
maritime_environment_04,Vessel concealment sophistication,Maritime and ports: Vessel concealment sophistication. Illustrative system variable in the trafficking environment layer; not operational intelligence or a policy assessment.,maritime,environment,context,135,pressure index,,neutral,,,,,
maritime_environment_05,Offshore transfer activity,Maritime and ports: Offshore transfer activity. Illustrative system variable in the trafficking environment layer; not operational intelligence or a policy assessment.,maritime,environment,context,81,pressure index,,neutral,,,,,
maritime_inputs_01,Maritime officer teams,Maritime and ports: Maritime officer teams. Illustrative system variable in the border force inputs layer; not operational intelligence or a policy assessment.,maritime,inputs,capability,127,capacity index,true,higher_better,2.5,,,,
maritime_inputs_02,Border cutter availability,Maritime and ports: Border cutter availability. Illustrative system variable in the border force inputs layer; not operational intelligence or a policy assessment.,maritime,inputs,capability,134,capacity index,true,higher_better,2.5,,,,
maritime_inputs_03,Port scanner capacity,Maritime and ports: Port scanner capacity. Illustrative system variable in the border force inputs layer; not operational intelligence or a policy assessment.,maritime,inputs,capability,80,capacity index,true,higher_better,2.5,,,,
maritime_inputs_04,Underwater search capacity,Maritime and ports: Underwater search capacity. Illustrative system variable in the border force inputs layer; not operational intelligence or a policy assessment.,maritime,inputs,capability,87,capacity index,true,higher_better,2.5,,,,
maritime_inputs_05,Advance manifest data,Maritime and ports: Advance manifest data. Illustrative system variable in the border force inputs layer; not operational intelligence or a policy assessment.,maritime,inputs,capability,94,capacity index,true,higher_better,2.5,,,,
maritime_activities_01,Vessel risk assessment,Maritime and ports: Vessel risk assessment. Illustrative system variable in the operational activities layer; not operational intelligence or a policy assessment.,maritime,activities,activity,140,operations/month,,higher_better,,additive,,,
maritime_activities_02,Container scanning,Maritime and ports: Container scanning. Illustrative system variable in the operational activities layer; not operational intelligence or a policy assessment.,maritime,activities,activity,86,operations/month,,higher_better,,additive,,,
maritime_activities_03,Vessel rummage,Maritime and ports: Vessel rummage. Illustrative system variable in the operational activities layer; not operational intelligence or a policy assessment.,maritime,activities,activity,93,operations/month,,higher_better,,additive,,,
maritime_activities_04,Coastal patrol,Maritime and ports: Coastal patrol. Illustrative system variable in the operational activities layer; not operational intelligence or a policy assessment.,maritime,activities,activity,100,operations/month,,higher_better,,additive,,,
maritime_activities_05,At-sea boarding,Maritime and ports: At-sea boarding. Illustrative system variable in the operational activities layer; not operational intelligence or a policy assessment.,maritime,activities,activity,107,operations/month,,higher_better,,additive,,,
maritime_outputs_01,Vessels boarded,Maritime and ports: Vessels boarded. Illustrative system variable in the immediate outputs layer; not operational intelligence or a policy assessment.,maritime,outputs,output,92,outputs/month,,higher_better,,additive,,,
maritime_outputs_02,Containers examined,Maritime and ports: Containers examined. Illustrative system variable in the immediate outputs layer; not operational intelligence or a policy assessment.,maritime,outputs,output,99,outputs/month,,higher_better,,additive,,,
maritime_outputs_03,Maritime drug seizures,Maritime and ports: Maritime drug seizures. Illustrative system variable in the immediate outputs layer; not operational intelligence or a policy assessment.,maritime,outputs,output,106,outputs/month,,higher_better,,additive,,,
maritime_outputs_04,Suspect craft tracked,Maritime and ports: Suspect craft tracked. Illustrative system variable in the immediate outputs layer; not operational intelligence or a policy assessment.,maritime,outputs,output,113,outputs/month,,higher_better,,additive,,,
maritime_outputs_05,Port intelligence referrals,Maritime and ports: Port intelligence referrals. Illustrative system variable in the immediate outputs layer; not operational intelligence or a policy assessment.,maritime,outputs,output,120,outputs/month,,higher_better,,additive,,,
maritime_outcomes_01,Maritime route disruption,Maritime and ports: Maritime route disruption. Illustrative system variable in the drug trafficking outcomes layer; not operational intelligence or a policy assessment.,maritime,outcomes,outcome,105,outcome index,,higher_better,,additive,,,
maritime_outcomes_02,Maritime import capacity reduced,Maritime and ports: Maritime import capacity reduced. Illustrative system variable in the drug trafficking outcomes layer; not operational intelligence or a policy assessment.,maritime,outcomes,outcome,112,outcome index,,higher_better,,additive,,,
maritime_outcomes_03,Port displacement,Maritime and ports: Port displacement. Illustrative system variable in the drug trafficking outcomes layer; not operational intelligence or a policy assessment.,maritime,outcomes,outcome|risk,119,outcome index,,lower_better,,additive,,,
maritime_outcomes_04,Maritime seizure tonnage,Maritime and ports: Maritime seizure tonnage. Illustrative system variable in the drug trafficking outcomes layer; not operational intelligence or a policy assessment.,maritime,outcomes,outcome,126,outcome index,,neutral,,additive,,,
maritime_outcomes_05,Maritime deterrence,Maritime and ports: Maritime deterrence. Illustrative system variable in the drug trafficking outcomes layer; not operational intelligence or a policy assessment.,maritime,outcomes,outcome,133,outcome index,,higher_better,,additive,,,
postal_parcels_environment_01,International parcel volume,Postal and express parcels: International parcel volume. Illustrative system variable in the trafficking environment layer; not operational intelligence or a policy assessment.,postal_parcels,environment,context,131,pressure index,,neutral,,,,,
postal_parcels_environment_02,Synthetic drug shipments,Postal and express parcels: Synthetic drug shipments. Illustrative system variable in the trafficking environment layer; not operational intelligence or a policy assessment.,postal_parcels,environment,context,138,pressure index,,neutral,,,,,
postal_parcels_environment_03,Darknet order volume,Postal and express parcels: Darknet order volume. Illustrative system variable in the trafficking environment layer; not operational intelligence or a policy assessment.,postal_parcels,environment,context,84,pressure index,,neutral,,,,,
postal_parcels_environment_04,Parcel misdeclaration,Postal and express parcels: Parcel misdeclaration. Illustrative system variable in the trafficking environment layer; not operational intelligence or a policy assessment.,postal_parcels,environment,context,91,pressure index,,neutral,,,,,
postal_parcels_environment_05,Micro-consignment use,Postal and express parcels: Micro-consignment use. Illustrative system variable in the trafficking environment layer; not operational intelligence or a policy assessment.,postal_parcels,environment,context,98,pressure index,,neutral,,,,,
postal_parcels_inputs_01,Parcel examination officers,Postal and express parcels: Parcel examination officers. Illustrative system variable in the border force inputs layer; not operational intelligence or a policy assessment.,postal_parcels,inputs,capability,83,capacity index,true,higher_better,2.5,,,,
postal_parcels_inputs_02,Parcel X-ray lanes,Postal and express parcels: Parcel X-ray lanes. Illustrative system variable in the border force inputs layer; not operational intelligence or a policy assessment.,postal_parcels,inputs,capability,90,capacity index,true,higher_better,2.5,,,,
postal_parcels_inputs_03,Substance spectrometry,Postal and express parcels: Substance spectrometry. Illustrative system variable in the border force inputs layer; not operational intelligence or a policy assessment.,postal_parcels,inputs,capability,97,capacity index,true,higher_better,2.5,,,,
postal_parcels_inputs_04,Parcel targeting rules,Postal and express parcels: Parcel targeting rules. Illustrative system variable in the border force inputs layer; not operational intelligence or a policy assessment.,postal_parcels,inputs,capability,104,capacity index,true,higher_better,2.5,,,,
postal_parcels_inputs_05,Secure parcel examination,Postal and express parcels: Secure parcel examination. Illustrative system variable in the border force inputs layer; not operational intelligence or a policy assessment.,postal_parcels,inputs,capability,111,capacity index,true,higher_better,2.5,,,,
postal_parcels_activities_01,Parcel screening,Postal and express parcels: Parcel screening. Illustrative system variable in the operational activities layer; not operational intelligence or a policy assessment.,postal_parcels,activities,activity,96,operations/month,,higher_better,,additive,,,
postal_parcels_activities_02,Declaration analysis,Postal and express parcels: Declaration analysis. Illustrative system variable in the operational activities layer; not operational intelligence or a policy assessment.,postal_parcels,activities,activity,103,operations/month,,higher_better,,additive,,,
postal_parcels_activities_03,Controlled-delivery referral,Postal and express parcels: Controlled-delivery referral. Illustrative system variable in the operational activities layer; not operational intelligence or a policy assessment.,postal_parcels,activities,activity,110,operations/month,,higher_better,,additive,,,
postal_parcels_activities_04,Substance testing,Postal and express parcels: Substance testing. Illustrative system variable in the operational activities layer; not operational intelligence or a policy assessment.,postal_parcels,activities,activity,117,operations/month,,higher_better,,additive,,,
postal_parcels_activities_05,Sender and address clustering,Postal and express parcels: Sender and address clustering. Illustrative system variable in the operational activities layer; not operational intelligence or a policy assessment.,postal_parcels,activities,activity,124,operations/month,,higher_better,,additive,,,
postal_parcels_outputs_01,Parcels intercepted,Postal and express parcels: Parcels intercepted. Illustrative system variable in the immediate outputs layer; not operational intelligence or a policy assessment.,postal_parcels,outputs,output,109,outputs/month,,higher_better,,additive,,,
postal_parcels_outputs_02,Substances identified,Postal and express parcels: Substances identified. Illustrative system variable in the immediate outputs layer; not operational intelligence or a policy assessment.,postal_parcels,outputs,output,116,outputs/month,,higher_better,,additive,,,
postal_parcels_outputs_03,Delivery addresses flagged,Postal and express parcels: Delivery addresses flagged. Illustrative system variable in the immediate outputs layer; not operational intelligence or a policy assessment.,postal_parcels,outputs,output,123,outputs/month,,higher_better,,additive,,,
postal_parcels_outputs_04,Parcel cases referred,Postal and express parcels: Parcel cases referred. Illustrative system variable in the immediate outputs layer; not operational intelligence or a policy assessment.,postal_parcels,outputs,output,130,outputs/month,,higher_better,,additive,,,
postal_parcels_outputs_05,Sender clusters mapped,Postal and express parcels: Sender clusters mapped. Illustrative system variable in the immediate outputs layer; not operational intelligence or a policy assessment.,postal_parcels,outputs,output,137,outputs/month,,higher_better,,additive,,,
postal_parcels_outcomes_01,Postal route disruption,Postal and express parcels: Postal route disruption. Illustrative system variable in the drug trafficking outcomes layer; not operational intelligence or a policy assessment.,postal_parcels,outcomes,outcome,122,outcome index,,higher_better,,additive,,,
postal_parcels_outcomes_02,Seller account exposure,Postal and express parcels: Seller account exposure. Illustrative system variable in the drug trafficking outcomes layer; not operational intelligence or a policy assessment.,postal_parcels,outcomes,outcome,129,outcome index,,higher_better,,additive,,,
postal_parcels_outcomes_03,Repeat address suppression,Postal and express parcels: Repeat address suppression. Illustrative system variable in the drug trafficking outcomes layer; not operational intelligence or a policy assessment.,postal_parcels,outcomes,outcome,136,outcome index,,higher_better,,additive,,,
postal_parcels_outcomes_04,Small-shipment displacement,Postal and express parcels: Small-shipment displacement. Illustrative system variable in the drug trafficking outcomes layer; not operational intelligence or a policy assessment.,postal_parcels,outcomes,outcome|risk,82,outcome index,,lower_better,,additive,,,
postal_parcels_outcomes_05,Online buyer deterrence,Postal and express parcels: Online buyer deterrence. Illustrative system variable in the drug trafficking outcomes layer; not operational intelligence or a policy assessment.,postal_parcels,outcomes,outcome,89,outcome index,,higher_better,,additive,,,
freight_environment_01,Road freight volume,Freight and commercial traffic: Road freight volume. Illustrative system variable in the trafficking environment layer; not operational intelligence or a policy assessment.,freight,environment,context,87,pressure index,,neutral,,,,,
freight_environment_02,Rail freight volume,Freight and commercial traffic: Rail freight volume. Illustrative system variable in the trafficking environment layer; not operational intelligence or a policy assessment.,freight,environment,context,94,pressure index,,neutral,,,,,
freight_environment_03,Trusted-trader abuse,Freight and commercial traffic: Trusted-trader abuse. Illustrative system variable in the trafficking environment layer; not operational intelligence or a policy assessment.,freight,environment,context,101,pressure index,,neutral,,,,,
freight_environment_04,Commercial load concealment,Freight and commercial traffic: Commercial load concealment. Illustrative system variable in the trafficking environment layer; not operational intelligence or a policy assessment.,freight,environment,context,108,pressure index,,neutral,,,,,
freight_environment_05,Driver coercion,Freight and commercial traffic: Driver coercion. Illustrative system variable in the trafficking environment layer; not operational intelligence or a policy assessment.,freight,environment,context,115,pressure index,,neutral,,,,,
freight_inputs_01,Freight examination officers,Freight and commercial traffic: Freight examination officers. Illustrative system variable in the border force inputs layer; not operational intelligence or a policy assessment.,freight,inputs,capability,100,capacity index,true,higher_better,2.5,,,,
freight_inputs_02,Mobile freight scanners,Freight and commercial traffic: Mobile freight scanners. Illustrative system variable in the border force inputs layer; not operational intelligence or a policy assessment.,freight,inputs,capability,107,capacity index,true,higher_better,2.5,,,,
freight_inputs_03,Weighbridge access,Freight and commercial traffic: Weighbridge access. Illustrative system variable in the border force inputs layer; not operational intelligence or a policy assessment.,freight,inputs,capability,114,capacity index,true,higher_better,2.5,,,,
freight_inputs_04,Commercial vehicle intelligence,Freight and commercial traffic: Commercial vehicle intelligence. Illustrative system variable in the border force inputs layer; not operational intelligence or a policy assessment.,freight,inputs,capability,121,capacity index,true,higher_better,2.5,,,,
freight_inputs_05,Freight inspection bays,Freight and commercial traffic: Freight inspection bays. Illustrative system variable in the border force inputs layer; not operational intelligence or a policy assessment.,freight,inputs,capability,128,capacity index,true,higher_better,2.5,,,,
freight_activities_01,Commercial vehicle selection,Freight and commercial traffic: Commercial vehicle selection. Illustrative system variable in the operational activities layer; not operational intelligence or a policy assessment.,freight,activities,activity,113,operations/month,,higher_better,,additive,,,
freight_activities_02,Freight load examination,Freight and commercial traffic: Freight load examination. Illustrative system variable in the operational activities layer; not operational intelligence or a policy assessment.,freight,activities,activity,120,operations/month,,higher_better,,additive,,,
freight_activities_03,Driver cab search,Freight and commercial traffic: Driver cab search. Illustrative system variable in the operational activities layer; not operational intelligence or a policy assessment.,freight,activities,activity,127,operations/month,,higher_better,,additive,,,
freight_activities_04,Cargo seal verification,Freight and commercial traffic: Cargo seal verification. Illustrative system variable in the operational activities layer; not operational intelligence or a policy assessment.,freight,activities,activity,134,operations/month,,higher_better,,additive,,,
freight_activities_05,Driver safeguarding interview,Freight and commercial traffic: Driver safeguarding interview. Illustrative system variable in the operational activities layer; not operational intelligence or a policy assessment.,freight,activities,activity,80,operations/month,,higher_better,,additive,,,
freight_outputs_01,Commercial vehicles examined,Freight and commercial traffic: Commercial vehicles examined. Illustrative system variable in the immediate outputs layer; not operational intelligence or a policy assessment.,freight,outputs,output,126,outputs/month,,higher_better,,additive,,,
freight_outputs_02,Freight loads scanned,Freight and commercial traffic: Freight loads scanned. Illustrative system variable in the immediate outputs layer; not operational intelligence or a policy assessment.,freight,outputs,output,133,outputs/month,,higher_better,,additive,,,
freight_outputs_03,Freight drug seizures,Freight and commercial traffic: Freight drug seizures. Illustrative system variable in the immediate outputs layer; not operational intelligence or a policy assessment.,freight,outputs,output,140,outputs/month,,higher_better,,additive,,,
freight_outputs_04,Cargo anomalies recorded,Freight and commercial traffic: Cargo anomalies recorded. Illustrative system variable in the immediate outputs layer; not operational intelligence or a policy assessment.,freight,outputs,output,86,outputs/month,,higher_better,,additive,,,
freight_outputs_05,Freight cases referred,Freight and commercial traffic: Freight cases referred. Illustrative system variable in the immediate outputs layer; not operational intelligence or a policy assessment.,freight,outputs,output,93,outputs/month,,higher_better,,additive,,,
freight_outcomes_01,Freight route disruption,Freight and commercial traffic: Freight route disruption. Illustrative system variable in the drug trafficking outcomes layer; not operational intelligence or a policy assessment.,freight,outcomes,outcome,139,outcome index,,higher_better,,additive,,,
freight_outcomes_02,Concealment cost increased,Freight and commercial traffic: Concealment cost increased. Illustrative system variable in the drug trafficking outcomes layer; not operational intelligence or a policy assessment.,freight,outcomes,outcome|risk,85,outcome index,,lower_better,,additive,,,
freight_outcomes_03,Haulage facilitation reduced,Freight and commercial traffic: Haulage facilitation reduced. Illustrative system variable in the drug trafficking outcomes layer; not operational intelligence or a policy assessment.,freight,outcomes,outcome,92,outcome index,,higher_better,,additive,,,
freight_outcomes_04,Freight seizure weight,Freight and commercial traffic: Freight seizure weight. Illustrative system variable in the drug trafficking outcomes layer; not operational intelligence or a policy assessment.,freight,outcomes,outcome,99,outcome index,,neutral,,additive,,,
freight_outcomes_05,Commercial logistics deterrence,Freight and commercial traffic: Commercial logistics deterrence. Illustrative system variable in the drug trafficking outcomes layer; not operational intelligence or a policy assessment.,freight,outcomes,outcome,106,outcome index,,higher_better,,additive,,,
inland_enforcement_environment_01,County-lines demand,Inland enforcement: County-lines demand. Illustrative system variable in the trafficking environment layer; not operational intelligence or a policy assessment.,inland_enforcement,environment,context,104,pressure index,,neutral,,,,,
